query,timestamp
coffee,2025-02-24 17:42:09.680294+00
book stores,2025-02-24 17:24:13.205734+00
cheap happy hour cute,2025-02-24 16:55:03.780006+00
brunch,2025-02-24 15:00:34.035967+00
breakfast,2025-02-24 14:08:58.012146+00
bookstore,2025-02-24 00:45:32.810339+00
cafe,2025-02-23 21:31:11.926728+00
burger,2025-02-23 21:11:17.974419+00
chinese food,2025-02-23 21:10:33.082327+00
cafe to cowork from,2025-02-23 21:04:30.898488+00
berlin,2025-02-23 19:47:36.684654+00
coffee cafe,2025-02-23 19:03:05.22628+00
cheap,2025-02-23 19:00:15.847531+00
cafes that allow dogs where i can work,2025-02-23 17:18:54.708841+00
cafes that allow dogs,2025-02-23 17:18:31.172811+00
cafe to work from,2025-02-23 16:16:14.018914+00
cafe in williamsburg,2025-02-23 16:06:31.024429+00
coffee friends,2025-02-23 15:43:33.832235+00
coffee hang out,2025-02-23 15:42:43.684189+00
bakery,2025-02-23 15:21:14.146922+00
asian,2025-02-23 15:00:29.412495+00
ando,2025-02-23 14:37:48.845288+00
bagel,2025-02-23 14:31:19.338972+00
cinema,2025-02-23 14:25:25.403481+00
biscuit,2025-02-23 07:09:38.419863+00
billiards,2025-02-23 03:13:48.17134+00
birthday bar,2025-02-23 03:00:21.6836+00
cheap drinks bars,2025-02-23 02:52:58.570448+00
birthday party,2025-02-23 02:51:31.878488+00
bar,2025-02-23 02:24:33.378478+00
ava brew,2025-02-23 02:05:21.589585+00
boba,2025-02-23 01:39:53.31849+00
chai,2025-02-23 01:35:04.753427+00
asian mart,2025-02-22 22:56:04.363587+00
cozy date night,2025-02-22 22:18:24.603542+00
bar east village,2025-02-22 22:17:11.428082+00
casual dinner date,2025-02-22 21:36:46.791861+00
bagels,2025-02-22 20:32:46.691745+00
coffee with vibe,2025-02-22 20:20:34.644992+00
cozy third space,2025-02-22 19:35:54.343355+00
antique,2025-02-22 18:54:36.683108+00
cool cafes,2025-02-22 18:38:44.053407+00
burrito,2025-02-22 17:52:42.049703+00
asian noms,2025-02-22 16:54:18.546282+00
clothing,2025-02-22 15:13:01.698504+00
cool dinner,2025-02-22 15:09:12.659758+00
aesthetic restaurant,2025-02-22 13:25:44.827615+00
cacao chocolate,2025-02-22 13:12:18.31642+00
cacao,2025-02-22 13:09:10.239246+00
caca,2025-02-22 13:02:17.199225+00
ceremonial cacao,2025-02-22 13:00:04.371094+00
athenaeum,2025-02-22 06:37:57.069663+00
chelsea bar date drinks,2025-02-22 04:58:09.273307+00
bar in the west village that will be chill on a friday night but good drinks,2025-02-22 02:02:46.133544+00
cafes that are vibey but not crowded,2025-02-21 23:09:31.29566+00
cafes that are good to work at,2025-02-21 23:06:19.789178+00
best asian food,2025-02-21 23:01:06.122759+00
chill date night cocktail,2025-02-21 22:28:44.81197+00
cafes open late,2025-02-21 22:23:10.042412+00
cocktail bar,2025-02-21 19:02:50.388484+00
coffee west village nyc,2025-02-21 18:21:22.56582+00
books,2025-02-21 17:44:46.538486+00
book store,2025-02-21 17:43:02.321913+00
