"corner_place_id","google_id","name","neighborhood","website","instagram_handle","tags"
516,"ChIJQ-hJIuBbwokRRUdquw_5w5U","L'Industrie Pizzeria","Brooklyn","http://www.lindustriebk.com/","lindustriebk","{restaurant}"
11582,"ChIJI25hF09ZwokRnmmiXXONRf4","Double Chicken Please","Lower East Side","http://www.doublechickenplease.com/","doublechickenpleasenyc","{bar,restaurant}"
699,"ChIJQyFr6-FZwokRr23JK7BC7_g","Thai Diner","Little Italy","http://www.thaidiner.com/","thaidiner","{restaurant}"
8772,"ChIJ0aS81yNZwokRIk-S2YSuvls","Soothr","East Village","http://soothrnyc.com/","soothr_nyc","{restaurant}"
21236,"ChIJKb2SuKFbwokRyORCT_Xtf_s","Public Records","Brooklyn","http://publicrecords.nyc/","publicrecordsnyc","{night_club,bar,cafe,restaurant}"
2698,"ChIJwxHj5iBZwokR_pY9e5OhHNs","Book Club Bar","Alphabet City","http://www.bookclubbar.com/","bookclubbar","{book_store,cafe,bar}"
505,"ChIJWUWEmp9bwokRD6Q20axkQoc","Win Son Bakery","Brooklyn","http://winsonbrooklyn.com/",,"{bakery,bar,restaurant}"
503,"ChIJT994RulZwokRdgqQX0zc3QY","La Cabra Bakery","East Village","https://us.lacabra.com/pages/east-village","lacabracoffee","{cafe,bakery}"
1144,"ChIJw7SsU_pZwokREyGSSulF53U","Misi","Brooklyn","http://www.misinewyork.com/","misinewyork","{restaurant}"
314,"ChIJo3cQ0GxZwokRUukfD7IRfKk","Raku","SoHo","http://rakunyc.com/","rakunyc","{restaurant}"
3453,"ChIJHdUJnfpZwokR96zcINvxiUU","Eavesdrop","Greenpoint","https://www.eavesdrop.nyc/",,"{bar}"
8797,"ChIJcVcDbvVZwokRH9wq92JCQBo","Café Lyria","NoHo",,"cafelyria","{cafe}"
1152,"ChIJaQRXYuRZwokRHjAN5MkBizY","Rule of Thirds","Greenpoint","http://thirdsbk.com/","thirdsbk","{bar,restaurant}"
485,"ChIJeYoRRYNZwokRMAtxzfUoRao","MONO+MONO","East Village","http://www.monomonony.com/","monomono.nyc","{cafe,bar,restaurant}"
419,"ChIJb8Jg9pZYwokR-qHGtvSkLzs","The Metropolitan Museum of Art","Manhattan","https://www.metmuseum.org/","metmuseum","{culture}"
121459,"ChIJvTUD4LZZwokRPYqxLi7y9Kg","Bibliotheque","SoHo","https://www.bibliothequenyc.com/","bibliothequenyc","{cafe,book_store,bar}"
2362,"ChIJi7flemFZwokRDpIJuxfOGek","Devoción","Brooklyn","http://www.devocion.com/","devocionusa","{cafe}"
418,"ChIJKxDbe_lYwokRVf__s8CPn-o","The Museum of Modern Art","Midtown","https://www.moma.org/","themuseumofmodernart","{culture}"
3366,"ChIJJXCD6ltZwokRJ_cwjKQH63c","Lilia","Brooklyn","http://www.lilianewyork.com/","lilianewyork","{restaurant}"
14979,"ChIJ64q9nXNZwokRCt5KB8WXT6M","Ume","Brooklyn","http://umenewyork.com/",,"{restaurant}"
3372,"ChIJgc7fPIVZwokRQMnqTxTf_Qk","Fish Cheeks","NoHo","https://www.fishcheeksnyc.com/","fishcheeksnyc","{restaurant}"
9662,"ChIJDyCs8UNZwokRaNcdvn_c6jU","Librae Bakery","East Village","http://libraebakery.com/","libraebakery","{bakery}"
501,"ChIJD-1a9ChawokRnTSi_Et62x4","Kiki's","Chinatown","https://kikisnyc.com/","kikis_nyc","{restaurant}"
9435,"ChIJVcSnm-NYwokRnGivcMPc81Q","Tomi Jazz","Midtown East","http://www.tomijazz.com/",,"{night_club,bar,restaurant}"
1165,"ChIJbTCMl19ZwokRUohF137p9cQ","The Four Horsemen","Brooklyn","http://fourhorsemenbk.com/","fourhorsemenbk","{restaurant,bar}"
52066,"ChIJ064AVwtZwokRK_IbyKmCNBQ","La Cabra","SoHo","https://us.lacabra.com/pages/soho","lacabracoffee","{cafe,bakery}"
402,"ChIJs8MdNo9ZwokRTPUHiArLC-o","Rubirosa","Little Italy","https://www.rubirosanyc.com/","rubirosa_nyc","{restaurant}"
8594,"ChIJ_xVHVB5bwokRXZSTppGOkK4","L'Appartement 4F","Brooklyn Heights","http://www.lappartement4f.com/","lappartement4f","{bakery,bar}"
1167,"ChIJfxC19JVZwokRX2uKgQAL17c","Don Angie","West Village","http://donangie.com/","donangienyc","{restaurant}"
1945,"ChIJ5bQPhMdZwokRkTwKhVxhP1g","The High Line","Chelsea District","https://www.thehighline.org/","highlinenyc","{nature}"
1950,"ChIJ6xvs94VZwokRnT1D2lX2OTw","Prince Street Pizza","Little Italy","https://locations.princestreetpizza.com/new-york","psp_nyc","{restaurant}"
2446,"ChIJOUqatilawokRguvFSj0wX7Y","Scarr's Pizza","Chinatown","http://www.scarrspizza.com/","scarrspizza","{restaurant}"
1172,"ChIJN7sVKcJZwokRZp59H74tSFg","Antidote","Brooklyn","http://antidoteny.com/","antidote__nyc","{nature,bar,restaurant}"
2828,"ChIJgf_deP5YwokR9lClGH8WEZQ","The Center for Fiction","Fort Greene","http://www.centerforfiction.org/","center4fiction","{book_store,cafe,culture,bar}"
1677,"ChIJhzzIZWBZwokRPp4llFHtQzs","Birds of a Feather","Brooklyn","http://birdsofafeatherny.com/","birdsofafeatherbk","{restaurant}"
1140,"ChIJxwoiopRZwokRttz8Wb0-BLU","L'Artusi","West Village","http://lartusi.com/","lartusi","{bar,restaurant}"
9749,"ChIJQ1R3hKNZwokRQM4wbIrc00o","COTE Korean Steakhouse","Flatiron District","https://www.cotekoreansteakhouse.com/","cotekoreansteakhouse","{bar,restaurant}"
2746,"ChIJ58HssClawokRefq6VNIOrlY","Metrograph","Chinatown","http://metrograph.com/","metrograph","{activity,night_club,cafe,bar,restaurant}"
2756,"ChIJEwHZcZNZwokR810IgyQhoZM","Buvette","West Village","http://www.ilovebuvette.com/","buvettenyc","{cafe,bar,restaurant}"
2699,"ChIJn1K9TDJawokReSrf6lk1Xck","usagi","Brooklyn","http://usaginy.com/","usaginy","{culture,book_store,cafe}"
18352,"ChIJr7FOf5NZwokRu3CDYtzVmuQ","Via Carota","West Village","http://viacarota.com/","viacarota","{restaurant}"
18399,"ChIJp7-d8P9ZwokRtQtbCsCOCBA","Katana Kitten","West Village","http://www.katanakitten.com/","katanakitten_nyc","{bar,restaurant}"
53862,"ChIJidmaBvdZwokRpeaRMeb_rX4","Radio Bakery","Greenpoint","http://radiobakery.nyc/",,"{bakery}"
646,"ChIJM3elBidawokRJKPC55N6pQI","Mei Lai Wah","Chinatown","http://meilaiwah.com/","meilaiwahcoffeeshop","{bakery,restaurant}"
2373,"ChIJtz83BQFcwokRrUZ9HpeGOng","SEY Coffee","Brooklyn","https://sey.coffee/","seycoffee","{cafe}"
1934,"ChIJ395CMVlawokRt2oLH_8zmvI","Lucali","Brooklyn","https://www.lucali.com/",,"{restaurant}"
13980,"ChIJW3Jhm8pZwokRlWrTFhoG1BU","Sauced","Brooklyn","https://www.saucedbklyn.com/","saucedbklyn","{bar}"
9841,"ChIJ26qnT6lZwokR0M8xAaWVR0k","Gem Wine","Lower East Side","http://gem-nyc.com/",,"{bar}"
1812,"ChIJ6WooklRYwokR3qd-J59t-k0","LOS TACOS No.1","Theater District","http://www.lostacos1.com/","lostacos1","{restaurant}"
420,"ChIJ4zGFAZpYwokRGUGph3Mf37k","Central Park","Manhattan","https://www.centralparknyc.org/","centralparknyc","{nature}"
1195,"ChIJDw8CYIpZwokRm_KQDaRtTK0","Taqueria Ramirez","Greenpoint","https://taqueriaramirezbk.com/","taqueria_ramirez_","{restaurant}"
21244,"ChIJpUwuIMNZwokRBlex2HAooM0","Caffè Panna","Gramercy","https://www.caffepanna.com/","caffepanna","{cafe}"
2466,"ChIJCar0f49ZwokR6ozLV-dHNTE","Katz's Delicatessen","Lower East Side","https://katzsdelicatessen.com/",,"{restaurant}"
15324,"ChIJk1s5AIFZwokRymNr0rhKWFE","Davelle","Lower East Side","http://davellenewyork.com/","davelle.nyc","{cafe,restaurant}"
