corner_place_id,google_id,original_name,neighborhood,website,instagram_handle,name,category,price,hours,reviews
516,ChIJQ-hJIuBbwokRRUdquw_5w5U,L'Industrie Pizzeria,Brooklyn,http://www.lindustriebk.com/,lindustriebk,Updates from customers,Pizza restaurant,,{},"['Came here at 12pm when they opened and there’s already a line but it did move quickly. Honestly, it’s the best pizza I’ve had in NY, I’ve tried slices from all the popular places like Mama Too’s, Joe’s and Bleeker st and this is the best. Pizza is cooked perfectly and not burnt underneath. A little pricey but well worth it.', 'I was really impressed by the large number of people at the location and the long line for ordering. The atmosphere both inside and outside the store was fantastic! The staff were exceptionally nice, which made for a pleasant experience. …', 'The best pizza I’ve tried in New York and Brooklyn! Be aware that there can be long lines at certain times of the day, especially during peak meal hours. It’s almost impossible to eat inside, but there’s a quirky bus outside where you can enjoy your slices. The pizza is incredibly delicious and flavorful—definitely worth it!', 'Best slice in NYC on a recent trip to the city. Crust and dough was fantastic, a nice mix of NY and Napolitan pizza. Toppings were fresh, cooked to perfection. Friendly staff cool environment in the shop. Standing room only for dine in.', ""L'Industrie Pizza is absolutely worth the visit! These are photos from my visit in April. From the moment you arrive, you can tell it's a popular spot—there’s usually a crowd, and the line to order moves quickly. The atmosphere, both inside …""]"
11582,ChIJI25hF09ZwokRnmmiXXONRf4,Double Chicken Please,Lower East Side,http://www.doublechickenplease.com/,doublechickenpleasenyc,Add missing information,Bar,,,[]
699,ChIJQyFr6-FZwokRr23JK7BC7_g,Thai Diner,Little Italy,http://www.thaidiner.com/,thaidiner,Updates from customers,Thai restaurant,,,"['We visited Thai Diner on Mott Street and had to wait about an hour for a table, which was a bit disappointing. The Thai iced tea was refreshing and tasty, but the Tom Yum soup was far too sour and didn’t have the right balance of flavors. …', 'I recently made my second visit to Thai Diner, a restaurant situated on the edge of Little Italy, a somewhat unexpected location for a Thai establishment. Despite its location, the diner was busy with both patrons and staff. …', 'Man oh man where do I even start.. First of all if you plan to eat here on a weekend or even during business hours be prepared to wait! We didn’t have any reservations so we ended up having to wait around 1-1.5 hours for a table …', 'After hearing great things upon our arrival to NYC, we arrived right at opening on a Friday to guarantee ourselves a seat. The coolest interior, friendly staff and fantastic food. We shared the crispy rice eggs and French toast. I think next time I would try the pancakes instead, but still delicious.', 'Tried brunch with my girls here today and it was incredible. We shared the egg sandwich, fried eggs, and coconut pancakes. They were each unique and delicious, new take on brunch food I’ve never had before with thai basil and spices. Will definitely be back! Recommend going on a weekday to avoid the line']"
8772,ChIJ0aS81yNZwokRIk-S2YSuvls,Soothr,East Village,http://soothrnyc.com/,soothr_nyc,From the owner,Thai restaurant,,{},"['Our server was Nina and she was so friendly! She did a great job checking in on us and giving us recommendations. …', 'Firstly, the atmosphere was authentic and really brings the Thai culture. The food was nicely done but there was nothing WOW. I do love how they place lychee in the duck curry it really balances the flavour of sweet and savoury. The …', 'Amazing restaurant. The decoration was on point and the staff were very nice. The food was all amazing.\nThe only downside was that the waiter couldn’t answer us well when we asked her to recommend us what to order. Other than that I left very content.', 'Easy to make reservations, friendly staffs. I highly recommend to ask for paper menu instead of QR code menu (so confusing). We were 5 people, order 2 appetizers and 5 entrees with 1 side dish. Everything was so good. I highly recommend the Tom Yum hot pot (decent size for sharing), and Chicken with Crispy noodles, also the Koong Curry!!', 'Great spot for a walk-in, but heads up—they only put you on the list if your whole group is there, and they’ll seat you once everyone arrives. You get 1:15 to eat, and while that sounds tight, it actually works perfectly. We didn’t feel …']"
21236,ChIJKb2SuKFbwokRyORCT_Xtf_s,Public Records,Brooklyn,http://publicrecords.nyc/,publicrecordsnyc,Updates from customers,Arts organization,,{},"['I rarely say this, especially while I’m still at the restaurant, but I will definitely be coming back — and I want to show this place to all my friends. It’s truly a fantastic spot! I loved every dish we tried. The staff was incredibly …', 'Public Records has a quirky layout that can be a bit confusing at first. For a recent music event, guests had to enter from a different entrance, check in at the back, and then head to the main venue at the front, with a small lounge …', 'Low key spot to NETWORK & VIBE.\n🙌🏼Great events almost every Wednesday🙌🏼And tickets could be purchased same day w/ coat check service available. …', 'enjoyed their cocktails and the dessert a lot for my birthday. the hostess was very sweet and the atmosphere was adorb - both in the dining room and in the garden with string lights on. can recommend tom in the afternoon (a light and smooth …', 'This place is undeniably charming, with a cozy and stylish atmosphere that immediately catches your eye. However, it’s quite small, and with the large number of people, it can feel a bit cramped at times. …']"
2698,ChIJwxHj5iBZwokR_pY9e5OhHNs,Book Club Bar,Alphabet City,http://www.bookclubbar.com/,bookclubbar,Popular times,Book store,,{},"['Such a lovely place, there is even a garden. Amazing books, high quality in choice, I was really surprised. When I went to the restroom and I found out that they have put the Satrapi’s graphic novel on the walls I have said to myself I have …', 'So much love for this space. It is so cute and what a great concept!! I was drawn here because this is where SMJ did her Crescent City 3 release. So cool!!', 'Wonderful place. Reasonably priced drinks and great coffee (for Manhattan). I sat there for three hours or so reading comic books. I prefer it over a regular bookstore but they typically don’t have the same selection. …', 'Such a charming little place! I love that you can purchase a book and sit down and read it while you enjoy a cocktail, glass of wine, or cup of coffee. It was a very calming environment. I especially loved the bathrooms and the staircase leading back up to the bookstore.', 'This was such an incredible experience. Very well thought out idea. We perused through some books, grabbed some drinks, and played chess. Their expresso martini is incredible! The ambiance was like a mini getaway from the chaos of the city. …']"
505,ChIJWUWEmp9bwokRD6Q20axkQoc,Win Son Bakery,Brooklyn,http://winsonbrooklyn.com/,,Updates from customers,Bakery,,{},"[""You need to get here ASAP! This place is on the top of my list for places you need to try in the city.  Scallion pancake BEC is UNREAL. My only complaint is they don't give you enough sauce to use it for every bite.  Mochi donut is perfect. …"", 'Enjoyed the Taiwanese inspired dishes! Jiucai Scallion Pancake tasted great and portion size was generous (could definitely be shared between 2 people) was very busy during lunch hours on a Saturday so prepared to dine at one of their standing tables.', 'SO GOOD OMG fusion Taiwanese gentrified breakfast but done rly well!! got the scallion bec, pork fan tuan, mochi donut and hot soy milk which came w some you tiao. Everything  was actually amazing, personal fav was the scallion bec and the …', 'Win Son Bakery totally lives up to its hype! They have an extensive menu with so many delicious options - from sweet to savory, you can’t go wrong ordering anything here. I went for a date caramel latte and egg and cheese on a scallion …', 'We had a bacon, egg, and cheese on a scallion pancake, a red rice donut, and a chocolate bolo bao. All the food was delicious, especially the egg sandwich with the tasty ginger deluxe sauce. It’s a bit hectic in there on a weekend morning …']"
503,ChIJT994RulZwokRdgqQX0zc3QY,La Cabra Bakery,East Village,https://us.lacabra.com/pages/east-village,lacabracoffee,Add missing information,Coffee shop,,{},"['The croissant was perfection! Baked to the perfect point and the inside was perfectly spread.\nThe matcha was also pretty good. But the rest of the breads were a bit of …', 'A huge hit. Reminds me of Denmark SO much. Cardamom bun was perfect. Not too sweet, delicious pairing with coffee. …', 'Not that this spot needed another great review, but I just HAD to leave one because it’s truly that good! From start to finish, the service was exceptional—the staff was incredibly kind and welcoming, checking in on us and asking about our …', 'Absolutely loved my experience here! Great selection of freshly baked goods. Cardamom bun was so soft and delicious, as well as a perfect cup of cortado. Extremely friendly staff. Limited space, but i did not mind standing by their coffee bar. Will definitely come back.', 'A lovely selection of pour over, coffee beans, and pastries. The cardamom bun is always a standout; this time we tried the saffron bun, which had a subtler flavor while maintaining the beautiful twist and soft texture, an equally delightful treat!']"
1144,ChIJw7SsU_pZwokREyGSSulF53U,Misi,Brooklyn,http://www.misinewyork.com/,misinewyork,Updates from customers,Italian restaurant,,{},"['The best pasta in New York! I often went there to go location near by to buy freshly made pasta and sauce, to cook at home. Cause this restaurant so hard to get the reservation, and luckily I finally got one. …', 'Misi - didn’t grab a reservation on a Sunday afternoon but we managed to squeeze in at the counter. For starters we had the trumpet mushroom and squash. Mushroom was really good. For pasta we had the tortellini and the nduja pasta. Pastas …', 'Definitely in my top 5 restaurants of Williamsburg, exceptional pastas, starters, ice cream\nVery good service! …', 'So glad I was finally able to try this place out. Firstly, the ambience and design of the restaurant is great. I love that you’re able to sit behind the counter (close to the kitchen). …', 'Very good pasta and good service. The shared high table was comfortable. I really enjoyed the pork sagu, it was more complex and flavorful than other dishes. Many of the dishes were simple, but very well made. However, the fennel salad was …']"
314,ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,SoHo,http://rakunyc.com/,rakunyc,Add missing information,Udon noodle restaurant,,,"['It was raining and freezing. But there were line waiting outside. Food is delicious. Atmosphere is nice. Employees are great. The only down side is the price. Understand it’s NYC and SOHO, but still highly overpriced. I would not visit again just for the price.', 'I ordered hot udon with shrimp. The noodles itself is quite amazing and comparable to origin japaness udon from Takamatsu. But the fried shrimp is not very crunchy. They gave frozen grape with the bill! Its delicious and brilliant idea 👍 …', 'We visited on a Saturday afternoon and had to wait about an hour for a table. We got two appetizers and one udon bowl which turned out to be too much for two hungry people. …', 'Best udon in NYC. The standout factor of raku is their homemade noodles. Each dish is high quality and unique. …', 'AMAZING food & service! We started with the sabazushi - mackerel was beautifully cooked & tender & there wasn’t any bad aftertaste. For the mains, we had hot udon & beef rice bowl - the noodles in the udon were absolute perfection & the …']"
3453,ChIJHdUJnfpZwokR96zcINvxiUU,Eavesdrop,Greenpoint,https://www.eavesdrop.nyc/,,Add missing information,Bar,0.0,,"['Went early on a Sunday afternoon with no reservation, and they were able to seat three of us at the bar. The vibe was really chill, and their sound system is amazing. Great playlist to enjoy a snack and drink to. …', 'Absolute 10/10 experience with an amazing atmosphere. A great roster of DJs, delicious bar bites, and out-of-this-world drinks. The sound system here is incredible!', 'Such a cool little vibe in Greenpoint! Didn’t have a reservation but they were able to accommodate me and a friend at the bar. The craft cocktails are super complex and thoughtfully made and everything we ordered was delicious. Highly …', 'Very impeccable ambiance with great music selection and sound quality. Drinks are on the sweeter side and could be more well balanced, but the flavors are interesting', 'Found the curly haired bartender in my picture to be really anal and rude. We came here on a Monday night for a birthday with around 15 people, it wasn’t packed or crowded and this guy came over multiple times demanding we sit with no real …']"
8797,ChIJcVcDbvVZwokRH9wq92JCQBo,Café Lyria,NoHo,,cafelyria,Add missing information,Cafe,,{},"['Lyria cafe is an awesome cafe with a modern vibe serving great coffee and pastries. The blueberry scone I got was a delight. The interior design and atmosphere were awesome, but we could not find a place to sit down. They had One Piece on the TV, which was pretty funny.', ""small coffee shop folded into the lobby of a NoHo building on a quiet stretch of Crosby Street. if it wasn't for tables and seats often scattered in front of Cafe Lyria, you'd likely walk by this spot and not notice it. the coffee shop …"", 'Super cute small coffee shop, and the lyria coffee was delicious. I don’t usually like coffee but i really liked this one. Grandmas cookie was also delicious though a bit on the small side.', 'The absolute best vibes. Groovy music, fun plants, great decorations, eccletic furniture, super kind staff and tasty drinks.', 'It’s only four stars because they didn’t do flavored lattes. There’s only like simple syrup on a side table for sweetener/flavors. I ended up ordering the only other recognizable item, which was an iced chai tea (latte?).There’s nothing to …']"
1152,ChIJaQRXYuRZwokRHjAN5MkBizY,Rule of Thirds,Greenpoint,http://thirdsbk.com/,thirdsbk,Updates from customers,Japanese restaurant,,,"['Absolutely loved the setting and atmosphere at Rule of Thirds when we stopped in for dinner. The service was also exceptional, and we loved every dish and drink we ordered (which was most of the dinner menu!). There were four of us, and we …', 'Came here for dinner and loved both the wide variety of food but also the high quality. The duck rice was my favorite but a lot of the small plates including the mushrooms were very good. The space is beautiful and Service is very friendly. Would come back!', ""Hi Rovik,\n\nThank you so much for your kind words! We're delighted to hear that you enjoyed … More"", 'Rule of Thirds offered a phenomenal dining experience. Every single dish displayed the absolute love of food! Our favorite dishes (in no particular order) were the chicken katsu sando, the hottokeki, ajitama egg salad, and the roasted …', 'What a great place to try Japanese breaky!! Unique flavors my family and I loved, it was really refreshing to try something we’ve never tried before. The food was overall great! The atmosphere was simple and elegant, I enjoyed it. The …']"
485,ChIJeYoRRYNZwokRMAtxzfUoRao,MONO+MONO,East Village,http://www.monomonony.com/,monomono.nyc,Popular times,Korean restaurant,,,"['I strongly recommend the porridge! The flavoring is mild in the best way. You can simply enjoy the natural savoriness of the chicken, the sweetness of the vegetables and the brightness of the herbs. The ratio of chicken to rice was too …', 'The inside is beautifully decorated with the real tree and flower. The wall decorating with a lot of real book. We ordered the potato wedge, chicken wings and strip steak. …', 'Food and atmosphere were good. Drinks came out after entrees but were still tasty! Main issue we had was that we paid in big bills and the staff added all of our change as tip without telling us or offering any back. We sat at a cleared …', 'absolutely obsessed with the happy hour deals!!! had my birthday early dinner here and we got almost everything on the happy hour menu, which were all very delicious. the atmosphere and design are breathtaking and the staffs were all very friendly. would come back here over and over again x', 'Went with a group of friends and we all chose the tasting menu, there was more then enough for everyone + extra.\nThe Food is delicious especially the Korean Fried Chicken and Kimchi Rice.\nCan be Really cute date spot with all the flower decor and bar seating within the bookshelvs.']"
