found,name,corner_place_id,google_id,original_name,neighborhood,description,price_range,cuisine,address,reviews,url
False,L'Industrie Pizzeria,516,ChIJQ-hJIuBbwokRRUdquw_5w5U,L'Industrie Pizzeria,Brooklyn,,,,,,
False,Double Chicken Please,11582,ChIJI25hF09ZwokRnmmiXXONRf4,Double Chicken Please,Lower East Side,,,,,,
False,Thai Diner,699,ChIJQyFr6-FZwokRr23JK7BC7_g,Thai Diner,Little Italy,,,,,,
True,Soothr,8772,ChIJ0aS81yNZwokRIk-S2YSuvls,Soothr,East Village,"Soothr, properly pronounced âSoodâ is the Thai word meaning âRecipeâ. This East Village establishment is the vision of close friends who grew up in different regions of Thailand, hoping to share their experiences and recipes with the rest of the world. Raised in distinctive regional cities, each individual brings their own unique relationship with Thai cuisine, with a specific focus on the generational family recipes that have shaped their childhood and time growing up in Thailand. With a specialty in family noodle recipes from throughout Thailand, Soothr offers a culinary experience that is geared towards the comfort and warmth of dining at home. These traditional recipes have brought great comfort and a sense of home for generations, and Soothr at its core is an invitation to sit at the table and enjoy a classic, Thai family meal.",$31 to $50,Thai,204 E 13th St,"['Service was amazing! We received complimentary vegetable wontons which were yum. The green curry was delicious and shrimp pad Thai perfect.', 'Delicious food, great service, great vibes all around', 'Be transported to funky town, Thailand!  Enjoy the food, hip vibes and fast service.  I will be back!', 'Extremely flavorful and interesting! Everything is super delicious! I recommend the Kong karee and the yum kaw moo is a whole experience on its own! Love the ambience and service is great. Itâ\x80\x99s my favorite restaurant in nyc for sure', 'Our experience was great! My party was a bit late to arrive and we were still accommodated']",https://www.opentable.com/r/soothr-new-york
False,Public Records,21236,ChIJKb2SuKFbwokRyORCT_Xtf_s,Public Records,Brooklyn,,,,,,
False,Book Club Bar,2698,ChIJwxHj5iBZwokR_pY9e5OhHNs,Book Club Bar,Alphabet City,,,,,,
False,Win Son Bakery,505,ChIJWUWEmp9bwokRD6Q20axkQoc,Win Son Bakery,Brooklyn,,,,,,
False,La Cabra Bakery,503,ChIJT994RulZwokRdgqQX0zc3QY,La Cabra Bakery,East Village,,,,,,
False,Misi,1144,ChIJw7SsU_pZwokREyGSSulF53U,Misi,Brooklyn,,,,,,
True,Raku,314,ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku,SoHo,Raku is a new sushi joint in the 50th &amp; France area. Raku is stylish and contemporary with muted tones. The menu offers plenty of sushi options as well as specialty modern Japanese dishes such as duck spring rolls and tuna pizza. Raku also offers a full bar with large selection of sakes!,$30 and under,"Japanese, Fusion / Eclectic",3939 W. 50th St. Suite 101,"['We love Raku because of the food &amp; the people who work there.  They remember us &amp; treat us like old friends.  Thank you!', ""Perfect location because of proximity to the Edina Theatre. Noise level was very good after families with children left. Food was fine. Not distinctive, but good. Price was a tad high for a suburban restaurant. I was annoyed that I wasn't able to receive points from OpenTable even though I reserved through that website."", 'Great place for a Japanese meal!', 'It took quite a while to get service....the food is amazing. The presentations are fantastic.  We shall return.', 'Reservations for noon. Stood outside the entry doors until 12:20 before an employee who had been outside smoking finally opened up. We were 2 of only 6-8 patrons in the whole place. It took another 20 minutes to get our server to take our order. She was unable to answer the most basic of questions about the menu. It appeared that everyone â\x80\x98workingâ\x80\x99 was hung over, or just sincerely disinterested in performing their duties. Maybe it was an off day, but I sure wonâ\x80\x99t be back, nor would I recommend it to anybody. The food was acceptable. Nothing outstanding.']",https://www.opentable.com/raku
False,Eavesdrop,3453,ChIJHdUJnfpZwokR96zcINvxiUU,Eavesdrop,Greenpoint,,,,,,
False,Café Lyria,8797,ChIJcVcDbvVZwokRH9wq92JCQBo,Café Lyria,NoHo,,,,,,
False,Rule of Thirds,1152,ChIJaQRXYuRZwokRHjAN5MkBizY,Rule of Thirds,Greenpoint,,,,,,
False,MONO+MONO,485,ChIJeYoRRYNZwokRMAtxzfUoRao,MONO+MONO,East Village,,,,,,
False,The Metropolitan Museum of Art,419,ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,Manhattan,,,,,,
