corner_place_id,google_id,name,neighborhood,website,instagram_handle,tags,place_id,licence,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,display_name,address,extratags,boundingbox
516,ChIJQ-hJIuBbwokRRUdquw_5w5U,L’industrie pizzeria,Brooklyn,http://www.lindustriebk.com/,lindustriebk,{restaurant},332916931,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,5994548785,40.7115764,-73.9578034,amenity,fast_food,30,9.175936522464359e-05,amenity,"L’industrie pizzeria, 254, South 2nd Street, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11211, United States","{'amenity': 'L’industrie pizzeria', 'house_number': '254', 'road': 'South 2nd Street', 'suburb': 'Williamsburg', 'borough': 'Brooklyn', 'county': 'Kings County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '11211', 'country': 'United States', 'country_code': 'us'}","{'cuisine': 'pizza', 'website': 'https://lindustriebk.square.site/', 'opening_hours': 'Mo-Sa 12:00-23:00; Su 12:00-22:00'}","['40.7115264', '40.7116264', '-73.9578534', '-73.9577534']"
11582,ChIJI25hF09ZwokRnmmiXXONRf4,Double Chicken Please,Lower East Side,http://www.doublechickenplease.com/,doublechickenpleasenyc,"{bar,restaurant}",389564462,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,12366546101,40.7195842,-73.9904912,amenity,bar,30,9.175936522464359e-05,amenity,"Double Chicken Please, 115, Allen Street, Lower East Side, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States","{'amenity': 'Double Chicken Please', 'house_number': '115', 'road': 'Allen Street', 'neighbourhood': 'Lower East Side', 'borough': 'Manhattan', 'county': 'New York County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '10002', 'country': 'United States', 'country_code': 'us'}",{'website': 'https://doublechickenplease.com/'},"['40.7195342', '40.7196342', '-73.9905412', '-73.9904412']"
699,ChIJQyFr6-FZwokRr23JK7BC7_g,Thai Diner,Little Italy,http://www.thaidiner.com/,thaidiner,{restaurant},330072687,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,2547246978,40.7207443,-73.9957016,amenity,restaurant,30,9.175936522464359e-05,amenity,"Thai Diner, 186, Mott Street, East Village, NoHo, Manhattan, New York County, City of New York, New York, 10012, United States","{'amenity': 'Thai Diner', 'house_number': '186', 'road': 'Mott Street', 'neighbourhood': 'East Village', 'borough': 'Manhattan', 'county': 'New York County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '10012', 'country': 'United States', 'country_code': 'us'}","{'bar': 'yes', 'phone': '+1-646-559-4140', 'cuisine': 'thai', 'website': 'https://www.thaidiner.com', 'cocktails': 'yes', 'drink:tea': 'yes', 'drink:beer': 'yes', 'drink:wine': 'yes', 'drink:coffee': 'yes', 'drink:liquor': 'yes', 'opening_hours': 'Mo-We 08:30-22:30, Th-Fr 08:30-23:30, Sa 10:00-23:30, Su 10:00-22:00', 'drink:espresso': 'yes'}","['40.7206943', '40.7207943', '-73.9957516', '-73.9956516']"
8772,ChIJ0aS81yNZwokRIk-S2YSuvls,Soothr,East Village,http://soothrnyc.com/,soothr_nyc,{restaurant},333029418,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4557537890,40.7323273,-73.9873238,amenity,restaurant,30,9.175936522464359e-05,amenity,"Soothr, 204, East 13th Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States","{'amenity': 'Soothr', 'house_number': '204', 'road': 'East 13th Street', 'neighbourhood': 'Manhattan Community Board 3', 'borough': 'Manhattan', 'county': 'New York County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '10003', 'country': 'United States', 'country_code': 'us'}","{'opening_hours': 'Mo-Su 12:00-16:00; Mo-Th, Su 17:00-22:00; Fr, Sa 17:00-22:30', 'internet_access': 'no'}","['40.7322773', '40.7323773', '-73.9873738', '-73.9872738']"
21236,ChIJKb2SuKFbwokRyORCT_Xtf_s,Public Records,Brooklyn,http://publicrecords.nyc/,publicrecordsnyc,"{night_club,bar,cafe,restaurant}",332361266,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,6280146793,40.6821013,-73.9865223,amenity,bar,30,9.175936522464359e-05,amenity,"Public Records, 233, Butler Street, Gowanus, Brooklyn, Kings County, City of New York, New York, 11217, United States","{'amenity': 'Public Records', 'house_number': '233', 'road': 'Butler Street', 'neighbourhood': 'Gowanus', 'borough': 'Brooklyn', 'county': 'Kings County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '11217', 'country': 'United States', 'country_code': 'us'}","{'email': 'hello@publicrecords.nyc', 'phone': '+1-347-529-4869', 'cuisine': 'coffee_shop;sandwich', 'website': 'https://publicrecords.nyc', 'cocktails': 'yes', 'diet:vegan': 'yes', 'drink:beer': 'bottled', 'drink:sake': 'yes', 'drink:wine': 'yes', 'live_music': 'yes', 'drink:coffee': 'yes', 'drink:liquor': 'yes', 'opening_hours': 'Tu-Su 09:00-17:00 ""coffee"" || Tu 14:00-23:00; We 14:00-24:00; Th 14:00-01:00; Fr,Sa 14:00-04:00; Su 14:00-24:00 ""bar""', 'drink:espresso': 'yes', 'diet:vegetarian': 'only', 'internet_access': 'wlan', 'outdoor_seating': 'yes', 'contact:facebook': 'https://facebook.com/publicrecords.nyc/'}","['40.6820513', '40.6821513', '-73.9865723', '-73.9864723']"
2698,ChIJwxHj5iBZwokR_pY9e5OhHNs,Book Club Bar,Alphabet City,http://www.bookclubbar.com/,bookclubbar,"{book_store,cafe,bar}",,,,,,,,,,,,,,,
505,ChIJWUWEmp9bwokRD6Q20axkQoc,Win Son Bakery,Brooklyn,http://winsonbrooklyn.com/,,"{bakery,bar,restaurant}",332934628,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,12253456376,40.7072233,-73.9430166,amenity,cafe,30,9.175936522464359e-05,amenity,"Win Son Bakery, 164, Graham Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11206, United States","{'amenity': 'Win Son Bakery', 'house_number': '164', 'road': 'Graham Avenue', 'suburb': 'Williamsburg', 'borough': 'Brooklyn', 'county': 'Kings County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '11206', 'country': 'United States', 'country_code': 'us'}","{'email': 'bakery@winsonbrooklyn.com', 'phone': '+1 (917) 909-1725', 'cuisine': 'coffee_shop;asian;taiwanese;pastry', 'website': 'https://www.winsonbrooklyn.com', 'check_date': '2024-10-25', 'website:menu': 'https://winsonbrooklyn.com/bakery/menu', 'opening_hours': 'Th-Sa 09:00-22:00; Su 09:00-21:00; Tu-We 09:00-21:00', 'indoor_seating': 'yes', 'outdoor_seating': 'yes'}","['40.7071733', '40.7072733', '-73.9430666', '-73.9429666']"
503,ChIJT994RulZwokRdgqQX0zc3QY,La Cabra Bakery,East Village,https://us.lacabra.com/pages/east-village,lacabracoffee,"{cafe,bakery}",,,,,,,,,,,,,,,
1144,ChIJw7SsU_pZwokREyGSSulF53U,Misi,Brooklyn,http://www.misinewyork.com/,misinewyork,{restaurant},334438404,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,8889104300,40.7134168,-73.9671916,amenity,restaurant,30,9.175936522464359e-05,amenity,"Misi, 329, Kent Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States","{'amenity': 'Misi', 'house_number': '329', 'road': 'Kent Avenue', 'suburb': 'Williamsburg', 'borough': 'Brooklyn', 'county': 'Kings County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '11249', 'country': 'United States', 'country_code': 'us'}","{'bar': 'yes', 'phone': '+1-347-566-3262', 'cuisine': 'italian', 'website': 'https://www.misinewyork.com'}","['40.7133668', '40.7134668', '-73.9672416', '-73.9671416']"
314,ChIJo3cQ0GxZwokRUukfD7IRfKk,Raku Soho,SoHo,http://rakunyc.com/,rakunyc,{restaurant},331952051,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,2722711716,40.7273101,-74.0025925,amenity,restaurant,30,9.175936522464359e-05,amenity,"Raku Soho, 48, MacDougal Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States","{'amenity': 'Raku Soho', 'house_number': '48', 'road': 'MacDougal Street', 'neighbourhood': 'University Village', 'borough': 'Manhattan', 'county': 'New York County', 'city': 'City of New York', 'state': 'New York', 'ISO3166-2-lvl4': 'US-NY', 'postcode': '10012', 'country': 'United States', 'country_code': 'us'}","{'email': 'soho@rakunyc.com', 'phone': '+1 (212)228-1324', 'cuisine': 'japanese', 'website': 'https://rakunyc.com/', 'opening_hours': 'Su-Th 00:00-22:00; Fr,Sa 00:00-23:00'}","['40.7272601', '40.7273601', '-74.0026425', '-74.0025425']"
